Date,UWG_Mailing,BFCM_Promo_Effect,holiday_list,Offline_Promo,Promotion_Discount,Total_Revenue,Revenue_New_Customer,influencer_spend,Awin_spend,microsoft_spend,criteo_spend,cost_outbrain,spend_Google_Branded,spend_Google_Non_Branded,spend_Google_PMAX,spend_Google_Demand_Gen,spend_Google_Others,spend_Meta_ASC,spend_Meta_Retargeting,spend_Meta_Prospecting,spend_Google,spend_Meta
2024-04-01,0,0,1,1,1,106943.0,38956.59,0.0,582.67,104.84,235.1090507,93.0,1397.096871,248.7,1236.751429,41.532079,56.85,622.88,289.149999,312.860001,2980.930379,1224.89
2024-04-02,0,0,0,1,1,97629.0,34755.77,0.0,488.37,114.55,213.8824556,95.0,1156.95232,239.56,1201.819981,42.691111,37.41,608.129999,281.1,304.18,2678.433412,1193.409999
2024-04-03,0,0,0,1,1,86273.0,33922.82,0.0,525.69,126.22,149.5225126,94.0,1305.355626,245.65,1081.493097,43.278069,34.15,604.330001,278.69,301.83,2709.926792,1184.850001
2024-04-04,0,0,0,1,1,98247.0,35323.97,0.0,531.8,101.88,145.0819799,94.0,1289.010803,300.35,1547.723387,41.585903,27.95,596.169998,276.64,298.62,3206.620093,1171.429998
2024-04-05,0,0,0,1,1,83678.0,29061.76,0.0,500.02,108.41,128.8251991,93.0,1239.129205,344.52,1524.926574,44.156125,23.39,597.27,277.800001,298.530001,3176.121904,1173.600002
2024-04-06,0,0,0,1,1,167511.0,34592.27,0.0,834.76,94.87,125.3728857,94.0,1322.223451,357.61,1689.923525,32.319399,44.4,614.389999,284.059999,307.619997,3446.476375,1206.069995
2024-04-07,1,0,0,1,1,217347.0,55948.68,0.0,1150.14,94.33,170.9647937,94.0,1468.026025,321.04,2151.409074,46.522593,45.2,660.610002,306.450001,331.63,4032.197692,1298.690003
2024-04-08,0,0,0,0,0,47234.0,20638.49,1765.0,232.32,103.16,173.8345035,94.0,1376.043608,348.11,1986.571388,46.166377,46.01,679.850001,287.35,309.629999,3802.901373,1276.83
2024-04-09,0,0,0,0,0,49803.0,24883.26,0.0,295.78,103.44,145.2213483,94.0,1492.850825,338.47,2197.454841,39.021333,28.87,684.04,282.39,304.71,4096.666999,1271.14
2024-04-10,0,0,0,0,0,51590.0,25621.7,0.0,218.77,100.79,111.1428378,93.0,1506.18229,347.55,1971.102437,43.528717,50.82,716.689997,277.61,300.12,3919.183444,1294.419997
2024-04-11,0,0,0,0,0,47804.0,19039.39,0.0,183.12,108.93,149.979277,94.0,1260.811704,284.67,1663.42358,40.407592,40.31,776.200002,278.89,301.16,3289.622876,1356.250002
2024-04-12,0,0,0,0,0,50477.0,21052.57,0.0,292.04,100.18,161.3834092,94.0,1093.650882,266.88,1477.084479,42.429065,34.44,774.58,278.09,300.77,2914.484426,1353.44
2024-04-13,0,0,0,0,0,49998.0,19676.52,0.0,181.79,69.54,157.9618469,94.0,1195.756927,324.1,1877.86104,43.067295,64.15,796.23,284.03,307.95,3504.935262,1388.21
2024-04-14,0,0,0,0,0,63731.0,26629.33,0.0,279.51,101.42,167.795154,94.0,1317.026364,385.25,2159.459843,44.137674,70.87,848.33,305.600003,331.460002,3976.743881,1485.390005
2024-04-15,0,0,0,0,0,49522.0,19598.97,0.0,220.66,108.12,214.0469141,94.0,1155.525878,342.98,1974.986475,40.952233,64.3,804.319999,287.43,311.08,3578.744586,1402.829999
2024-04-16,0,0,0,0,0,43069.0,22196.14,0.0,262.46,95.01,184.5630896,93.0,864.430311,317.47,2002.871062,40.741917,52.61,784.489998,282.059998,304.55,3278.12329,1371.099996
2024-04-17,0,0,0,0,0,51227.0,24201.83,0.0,342.81,82.06,150.3854386,93.0,1014.909777,329.47,1605.049246,40.910996,36.19,776.480003,278.28,299.87,3026.530019,1354.630003
2024-04-18,0,0,0,0,0,51816.0,18505.31,0.0,335.31,80.76,155.7867686,93.0,956.65229,303.95,1823.879481,40.71217,36.27,779.24,279.9,301.830001,3161.463941,1360.970001
2024-04-19,0,0,0,0,0,52085.0,23106.84,1765.0,438.39,76.8,140.8176941,94.0,947.633424,283.85,1905.563594,39.83104,19.3,779.71,278.200002,301.76,3196.178058,1359.670002
2024-04-20,0,0,0,0,0,57541.0,24287.26,0.0,287.22,65.25,148.3188122,93.0,1296.476783,299.27,2016.515702,39.837075,33.02,791.59,282.040001,305.34,3685.11956,1378.970001
2024-04-21,0,0,0,0,0,72691.0,31138.19,0.0,336.64,91.04,150.1704108,93.0,1299.910983,326.07,1915.502206,39.437538,34.32,847.429997,304.18,328.590001,3615.240727,1480.199998
2024-04-22,0,0,0,0,0,49741.0,25498.61,0.0,166.79,102.28,178.4177341,93.0,977.638318,310.58,1542.923865,40.425339,31.13,803.850001,299.04,311.36,2902.697522,1414.250001
2024-04-23,0,0,0,0,0,55799.0,25014.57,0.0,293.8,87.92,194.4862446,93.0,1091.362608,339.505,1800.562383,38.893075,42.64,774.139998,301.809999,304.129999,3312.963066,1380.079996
2024-04-24,0,0,0,0,0,49738.0,20765.18,0.0,242.41,118.86,155.4297581,95.0,985.288778,191.92,1243.891925,38.913172,23.59,774.949999,197.129999,299.47,2483.603875,1271.549998
2024-04-25,0,0,0,0,1,74064.0,23692.8,0.0,355.91,124.25,182.2471848,92.0,991.939104,200.82,1207.592285,39.43476,33.21,779.919998,179.669998,301.87,2472.996149,1261.459996
