NORTHFIELD & CO. — Business Brief,Unnamed: 1
Mass-market casual apparel · US e-commerce · Daily sales & marketing data pack,
,
Brand,"Northfield & Co. (pseudonym). A US-based mass-market casual apparel brand in the tradition of Gap: denim, tees, sweats, khakis and seasonal basics for women, men and kids at $20–$90 price points. Democratic, family-oriented positioning with a strong loyalty programme and near-constant promotional activity."
Market & scope of this dataset,United States. Daily data from 1 Apr 2024 to 31 Jul 2026 — 852 days. All revenue and spend in USD. Revenue is net of returns and discounts; media spend is gross platform spend.
Business model,"Omnichannel retailer, but this dataset covers the US e-commerce business only (northfieldco.com and app). Total_Revenue is daily online net revenue; Revenue_New_Customer is the part of it that came from first-time buyers "
Promotions & calendar,"Northfield runs a high-frequency promotional model. Promotion_Discount = 1 on days a site-wide discount was live (about two-thirds of all days). Offline_Promo = 1 on days when a store promotion was also running (in-store events tend to lift online demand through the loyalty programme). UWG_Mailing = 1 on days a customer mailing (email / direct-mail campaign coded 'UWG') was dropped — these days show clear spikes. holiday_list = 1 on US public holidays and retail holidays (Easter, Memorial Day, 4 July, Labor Day, Thanksgiving, Christmas, New Year). BFCM_Promo_Effect = 1 during the Black Friday / Cyber Monday window, the largest revenue days of each year. Seasonality is otherwise moderate: spring and back-to-school builds, a November peak, a sharp December post-BFCM dip, and a January–February trough."
Marketing channels in the dataset,"Paid search & shopping on Google is split into brand search (spend_Google_Branded), non-brand search (spend_Google_Non_Branded), Performance Max (spend_Google_PMAX), Demand Gen (spend_Google_Demand_Gen) and other formats such as Display and YouTube (spend_Google_Others); spend_Google is the Google roll-up. Paid social on Meta is split into Advantage+ shopping (spend_Meta_ASC), retargeting (spend_Meta_Retargeting) and prospecting (spend_Meta_Prospecting); spend_Meta is the Meta roll-up. Smaller channels: Microsoft Ads (microsoft_spend), Criteo retargeting display (criteo_spend), Outbrain native content ads (cost_outbrain), the Awin affiliate network (Awin_spend, commission-based) and occasional paid influencer placements (influencer_spend, only ~21 active days). Total paid media is about 8% of online revenue — a low-intensity, efficiency-led mix typical of a large mass brand with high organic and CRM demand."
Media strategy,"Brand search and Meta ASC are the always-on workhorses, roughly $1.2K and $0.8K per day. PMAX and non-brand search are flexed up around promotions; Meta prospecting was scaled up from mid-2024. Affiliates, Criteo and Outbrain run at steady low daily levels. Influencer activity is sporadic, booked as lump sums on the day the content goes live. The team is interested in how much of daily revenue is driven by promotions and mailings versus paid media, and whether the brand-search and affiliate lines are capturing demand created elsewhere."
KPI definitions,Primary KPI: Total_Revenue (daily online net revenue). Secondary KPI: Revenue_New_Customer (acquisition). spend_Google and spend_Meta are the source system's platform roll-ups of their component lines and are kept as reported.
Data notes,"Figures are the brand's actual daily extracts, anonymised only by renaming the company. No columns were removed or renamed. Note that spend_Google and spend_Meta are roll-ups of their component columns — avoid double counting when summing total media. See the Glossary tab for a definition of every field."
